,tone
22,{'document_tone': {'tones': []}}
23,"{'document_tone': {'tones': [{'score': 0.817055, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
24,{'document_tone': {'tones': []}}
25,"{'document_tone': {'tones': [{'score': 0.747819, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
26,"{'document_tone': {'tones': [{'score': 0.747819, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
27,{'document_tone': {'tones': []}}
28,{'document_tone': {'tones': []}}
29,{'document_tone': {'tones': []}}
30,{'document_tone': {'tones': []}}
31,{'document_tone': {'tones': []}}
32,"{'document_tone': {'tones': [{'score': 0.764478, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
33,{'document_tone': {'tones': []}}
34,"{'document_tone': {'tones': [{'score': 0.675462, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
35,"{'document_tone': {'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
36,"{'document_tone': {'tones': [{'score': 0.688155, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
37,"{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
38,"{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
39,{'document_tone': {'tones': []}}
40,{'document_tone': {'tones': []}}
41,"{'document_tone': {'tones': [{'score': 0.865642, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
42,{'document_tone': {'tones': []}}
43,{'document_tone': {'tones': []}}
44,{'document_tone': {'tones': []}}
45,"{'document_tone': {'tones': [{'score': 0.792065, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
46,"{'document_tone': {'tones': [{'score': 0.545656, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
47,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
48,{'document_tone': {'tones': []}}
49,"{'document_tone': {'tones': [{'score': 0.822706, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
50,{'document_tone': {'tones': []}}
51,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
52,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
53,"{'document_tone': {'tones': [{'score': 0.785108, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
54,"{'document_tone': {'tones': [{'score': 0.783268, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
55,{'document_tone': {'tones': []}}
56,"{'document_tone': {'tones': [{'score': 0.9221, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
57,{'document_tone': {'tones': []}}
58,{'document_tone': {'tones': []}}
59,{'document_tone': {'tones': []}}
60,"{'document_tone': {'tones': [{'score': 0.734904, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
61,"{'document_tone': {'tones': [{'score': 0.935766, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
62,"{'document_tone': {'tones': [{'score': 0.848266, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
63,"{'document_tone': {'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
64,"{'document_tone': {'tones': [{'score': 0.953253, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
65,"{'document_tone': {'tones': [{'score': 0.899177, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
66,{'document_tone': {'tones': []}}
67,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
68,"{'document_tone': {'tones': [{'score': 0.626428, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
69,"{'document_tone': {'tones': [{'score': 0.599434, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
70,"{'document_tone': {'tones': [{'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
71,"{'document_tone': {'tones': [{'score': 0.871399, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
72,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.999744, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
73,"{'document_tone': {'tones': [{'score': 0.849491, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
74,{'document_tone': {'tones': []}}
75,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'It is no surprise this is so high on trip advisor.', 'tones': []}, {'sentence_id': 1, 'text': 'Service, location and setting!', 'tones': []}]}"
76,"{'document_tone': {'tones': [{'score': 0.814232, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
77,"{'document_tone': {'tones': [{'score': 0.88498, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
78,"{'document_tone': {'tones': [{'score': 0.827472, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
79,"{'document_tone': {'tones': [{'score': 0.827472, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
80,"{'document_tone': {'tones': [{'score': 0.793311, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.735673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
81,{'document_tone': {'tones': []}}
82,{'document_tone': {'tones': []}}
83,"{'document_tone': {'tones': [{'score': 0.738391, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
84,{'document_tone': {'tones': []}}
85,{'document_tone': {'tones': []}}
86,{'document_tone': {'tones': []}}
87,"{'document_tone': {'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
88,{'document_tone': {'tones': []}}
89,"{'document_tone': {'tones': [{'score': 0.772753, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
90,{'document_tone': {'tones': []}}
91,{'document_tone': {'tones': []}}
92,"{'document_tone': {'tones': [{'score': 0.656784, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
93,{'document_tone': {'tones': []}}
94,{'document_tone': {'tones': []}}
95,{'document_tone': {'tones': []}}
96,{'document_tone': {'tones': []}}
97,{'document_tone': {'tones': []}}
98,{'document_tone': {'tones': []}}
99,"{'document_tone': {'tones': [{'score': 0.882969, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
100,{'document_tone': {'tones': []}}
101,"{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
102,"{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
103,{'document_tone': {'tones': []}}
104,"{'document_tone': {'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
105,{'document_tone': {'tones': []}}
106,"{'document_tone': {'tones': [{'score': 0.769506, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
107,{'document_tone': {'tones': []}}
108,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
109,"{'document_tone': {'tones': [{'score': 0.546345, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
110,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
111,"{'document_tone': {'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
112,{'document_tone': {'tones': []}}
113,{'document_tone': {'tones': []}}
114,"{'document_tone': {'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.767592, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
115,{'document_tone': {'tones': []}}
116,{'document_tone': {'tones': []}}
117,"{'document_tone': {'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
118,"{'document_tone': {'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
119,"{'document_tone': {'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
120,"{'document_tone': {'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
121,{'document_tone': {'tones': []}}
122,"{'document_tone': {'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
123,{'document_tone': {'tones': []}}
124,"{'document_tone': {'tones': [{'score': 0.735726, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
125,"{'document_tone': {'tones': [{'score': 0.801653, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
126,{'document_tone': {'tones': []}}
127,"{'document_tone': {'tones': [{'score': 0.816533, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
128,"{'document_tone': {'tones': [{'score': 0.635512, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
129,"{'document_tone': {'tones': [{'score': 0.635512, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
130,"{'document_tone': {'tones': [{'score': 0.817412, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Great hotel.', 'tones': [{'score': 0.873398, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Convenient Location.', 'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Excellent service.', 'tones': [{'score': 0.760338, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
131,{'document_tone': {'tones': []}}
132,"{'document_tone': {'tones': [{'score': 0.596816, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
133,"{'document_tone': {'tones': [{'score': 0.606376, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
134,"{'document_tone': {'tones': [{'score': 0.730949, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
135,{'document_tone': {'tones': []}}
136,{'document_tone': {'tones': []}}
137,{'document_tone': {'tones': []}}
138,{'document_tone': {'tones': []}}
139,{'document_tone': {'tones': []}}
140,"{'document_tone': {'tones': [{'score': 0.814297, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
141,"{'document_tone': {'tones': [{'score': 0.749197, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.72969, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.627908, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'One night only, but a nice one.', 'tones': [{'score': 0.708263, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': ""New renno's high quality..."", 'tones': [{'score': 0.635569, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
142,{'document_tone': {'tones': []}}
143,"{'document_tone': {'tones': [{'score': 0.70735, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
144,{'document_tone': {'tones': []}}
145,{'document_tone': {'tones': []}}
146,"{'document_tone': {'tones': [{'score': 0.910947, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
147,"{'document_tone': {'tones': [{'score': 0.631241, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
148,"{'document_tone': {'tones': [{'score': 0.616971, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
149,"{'document_tone': {'tones': [{'score': 0.616971, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
150,{'document_tone': {'tones': []}}
151,"{'document_tone': {'tones': [{'score': 0.683701, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
152,"{'document_tone': {'tones': [{'score': 0.63824, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
153,{'document_tone': {'tones': []}}
154,"{'document_tone': {'tones': [{'score': 0.791669, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
155,"{'document_tone': {'tones': [{'score': 0.859029, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
156,"{'document_tone': {'tones': [{'score': 0.859029, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
157,"{'document_tone': {'tones': [{'score': 0.824811, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
158,"{'document_tone': {'tones': [{'score': 0.918383, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
159,"{'document_tone': {'tones': [{'score': 0.597794, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
160,{'document_tone': {'tones': []}}
161,{'document_tone': {'tones': []}}
162,"{'document_tone': {'tones': [{'score': 0.610839, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
163,{'document_tone': {'tones': []}}
164,{'document_tone': {'tones': []}}
165,"{'document_tone': {'tones': [{'score': 0.553095, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
166,"{'document_tone': {'tones': [{'score': 0.876942, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
167,"{'document_tone': {'tones': [{'score': 0.814859, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
168,{'document_tone': {'tones': []}}
169,"{'document_tone': {'tones': [{'score': 0.527256, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
170,"{'document_tone': {'tones': [{'score': 0.760318, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
171,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
172,"{'document_tone': {'tones': [{'score': 0.777121, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
173,"{'document_tone': {'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
174,{'document_tone': {'tones': []}}
175,"{'document_tone': {'tones': [{'score': 0.819599, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
176,"{'document_tone': {'tones': [{'score': 0.60819, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
177,"{'document_tone': {'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
178,"{'document_tone': {'tones': [{'score': 0.84591, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
179,"{'document_tone': {'tones': [{'score': 0.908083, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
180,"{'document_tone': {'tones': [{'score': 0.588136, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
181,"{'document_tone': {'tones': [{'score': 0.802166, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
182,{'document_tone': {'tones': []}}
183,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
184,{'document_tone': {'tones': []}}
185,{'document_tone': {'tones': []}}
186,{'document_tone': {'tones': []}}
187,{'document_tone': {'tones': []}}
188,"{'document_tone': {'tones': [{'score': 0.865469, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
189,"{'document_tone': {'tones': [{'score': 0.817847, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
190,{'document_tone': {'tones': []}}
191,{'document_tone': {'tones': []}}
192,{'document_tone': {'tones': []}}
193,{'document_tone': {'tones': []}}
194,{'document_tone': {'tones': []}}
195,{'document_tone': {'tones': []}}
196,"{'document_tone': {'tones': [{'score': 0.814531, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
197,"{'document_tone': {'tones': [{'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
198,{'document_tone': {'tones': []}}
199,"{'document_tone': {'tones': [{'score': 0.892033, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
200,"{'document_tone': {'tones': [{'score': 0.781995, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
201,{'document_tone': {'tones': []}}
202,"{'document_tone': {'tones': [{'score': 0.851351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
203,"{'document_tone': {'tones': [{'score': 0.852055, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
204,"{'document_tone': {'tones': [{'score': 0.854517, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
205,"{'document_tone': {'tones': [{'score': 0.854517, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
206,"{'document_tone': {'tones': [{'score': 0.911423, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
207,{'document_tone': {'tones': []}}
208,{'document_tone': {'tones': []}}
209,{'document_tone': {'tones': []}}
210,{'document_tone': {'tones': []}}
211,{'document_tone': {'tones': []}}
212,{'document_tone': {'tones': []}}
213,{'document_tone': {'tones': []}}
214,"{'document_tone': {'tones': [{'score': 0.831628, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
215,{'document_tone': {'tones': []}}
216,{'document_tone': {'tones': []}}
217,{'document_tone': {'tones': []}}
218,{'document_tone': {'tones': []}}
219,{'document_tone': {'tones': []}}
220,{'document_tone': {'tones': []}}
221,{'document_tone': {'tones': []}}
222,{'document_tone': {'tones': []}}
223,{'document_tone': {'tones': []}}
224,"{'document_tone': {'tones': [{'score': 0.907319, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
225,"{'document_tone': {'tones': [{'score': 0.543937, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
226,"{'document_tone': {'tones': [{'score': 0.543937, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
227,{'document_tone': {'tones': []}}
228,{'document_tone': {'tones': []}}
229,{'document_tone': {'tones': []}}
230,"{'document_tone': {'tones': [{'score': 0.760689, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
231,"{'document_tone': {'tones': [{'score': 0.851351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
232,"{'document_tone': {'tones': [{'score': 0.851351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
233,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Convenient location.', 'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Friendly service.', 'tones': []}]}"
234,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Convenient location.', 'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Friendly service.', 'tones': []}]}"
235,"{'document_tone': {'tones': [{'score': 0.776749, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
236,"{'document_tone': {'tones': [{'score': 0.776749, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
237,"{'document_tone': {'tones': [{'score': 0.885383, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Nice hotel.', 'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Nice staff', 'tones': [{'score': 0.833101, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
238,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
239,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
240,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
241,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
242,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
243,{'document_tone': {'tones': []}}
244,"{'document_tone': {'tones': [{'score': 0.839363, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
245,"{'document_tone': {'tones': [{'score': 0.824811, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
246,"{'document_tone': {'tones': [{'score': 0.824811, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
247,{'document_tone': {'tones': []}}
248,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This hotel is a dump!', 'tones': []}, {'sentence_id': 1, 'text': 'Upon ch...', 'tones': []}]}"
249,{'document_tone': {'tones': []}}
250,{'document_tone': {'tones': []}}
251,{'document_tone': {'tones': []}}
252,{'document_tone': {'tones': []}}
253,{'document_tone': {'tones': []}}
254,{'document_tone': {'tones': []}}
255,"{'document_tone': {'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
256,{'document_tone': {'tones': []}}
257,{'document_tone': {'tones': []}}
258,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
259,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
260,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
261,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
262,{'document_tone': {'tones': []}}
263,{'document_tone': {'tones': []}}
264,{'document_tone': {'tones': []}}
265,{'document_tone': {'tones': []}}
266,"{'document_tone': {'tones': [{'score': 0.783581, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
267,"{'document_tone': {'tones': [{'score': 0.783581, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
268,"{'document_tone': {'tones': [{'score': 0.814354, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
269,{'document_tone': {'tones': []}}
270,{'document_tone': {'tones': []}}
271,"{'document_tone': {'tones': [{'score': 0.734692, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
272,{'document_tone': {'tones': []}}
273,{'document_tone': {'tones': []}}
274,"{'document_tone': {'tones': [{'score': 0.773753, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
275,{'document_tone': {'tones': []}}
276,{'document_tone': {'tones': []}}
277,{'document_tone': {'tones': []}}
278,"{'document_tone': {'tones': [{'score': 0.818917, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
279,"{'document_tone': {'tones': [{'score': 0.818917, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
280,{'document_tone': {'tones': []}}
281,"{'document_tone': {'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
282,{'document_tone': {'tones': []}}
283,"{'document_tone': {'tones': [{'score': 0.773731, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
284,"{'document_tone': {'tones': [{'score': 0.846298, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.96712, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Nice location, knowledgeable host.', 'tones': [{'score': 0.85037, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.939594, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Good price.', 'tones': [{'score': 0.578392, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
285,{'document_tone': {'tones': []}}
286,"{'document_tone': {'tones': [{'score': 0.871153, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
287,"{'document_tone': {'tones': [{'score': 0.923232, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
288,"{'document_tone': {'tones': [{'score': 0.654304, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
